Заголовок,Страница,Район,Дата,Цена
Сдам 1 комнатную квартиру в новострое на Говорова / Зоопарковой,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-v-novostroe-na-govorova-zooparkovoy-IDz97p4.html#1089c721f9, Приморский,12  июнь,8 500 грн.
Осипова / малая Арнаутская комната для дев-жен цена коммунальными 2300,https://www.olx.ua/obyavlenie/osipova-malaya-arnautskaya-komnata-dlya-dev-zhen-tsena-kommunalnymi-2300-IDAtmEm.html#1089c721f9, Приморский,12  июнь,2 300 грн.
Дунаева 4 комн,https://www.olx.ua/obyavlenie/dunaeva-4-komn-IDxRxsm.html#1089c721f9, Приморский,12  июнь,52 539 грн.
Сдам кафе,https://www.olx.ua/obyavlenie/sdam-kafe-IDzSONu.html#1089c721f9, Малиновский,12  июнь,14 000 грн.
Первая Аренда 1 ком кв Центр Города!,https://www.olx.ua/obyavlenie/pervaya-arenda-1-kom-kv-tsentr-goroda-IDAthbQ.html#1089c721f9, Приморский,12  июнь,11 881 грн.
Сдам студию в Аркадии на длительный срок,https://www.olx.ua/obyavlenie/sdam-studiyu-v-arkadii-na-dlitelnyy-srok-IDAtfdq.html#1089c721f9, Малиновский,11  июнь,10 000 грн.
Долгосрочная аренда 2-ух комнатной квартиры в Приморском районе.,https://www.olx.ua/obyavlenie/dolgosrochnaya-arenda-2-uh-komnatnoy-kvartiry-v-primorskom-rayone-IDAtevQ.html#1089c721f9, Приморский,11  июнь,9 000 грн.
Сдам комнату,https://www.olx.ua/obyavlenie/sdam-komnatu-IDAtewg.html#1089c721f9, Киевский,11  июнь,2 500 грн.
Сдам 1ю квартиру в 17 жемчужине,https://www.olx.ua/obyavlenie/sdam-1yu-kvartiru-v-17-zhemchuzhine-IDAtdri.html#1089c721f9, Приморский,11  июнь,11 881 грн.
Сдам часть дома или комнату,https://www.olx.ua/obyavlenie/sdam-chast-doma-ili-komnatu-IDzSpFq.html#1089c721f9, Малиновский,11  июнь,1 200 грн.
Сдам маленькую комнату в коммуне (от хозяина) в центре Одессы,https://www.olx.ua/obyavlenie/sdam-malenkuyu-komnatu-v-kommune-ot-hozyaina-v-tsentre-odessy-IDs3iwi.html#1089c721f9;promoted, Приморский,11  июнь,3 900 грн.
Койко место,https://www.olx.ua/obyavlenie/koyko-mesto-IDAt1AS.html#1089c721f9, Киевский,11  июнь,3 935 грн.
"Сдам на летние месяцы. Близость центра города , новый дом",https://www.olx.ua/obyavlenie/sdam-na-letnie-mesyatsy-blizost-tsentra-goroda-novyy-dom-IDAt0UA.html#1089c721f9, Приморский,11  июнь,18 407 грн.
Сдам квартиру Разумовская/Мясоедовская,https://www.olx.ua/obyavlenie/sdam-kvartiru-razumovskaya-myasoedovskaya-IDAsUZg.html#1089c721f9, Приморский,11  июнь,19 722 грн.
Квартира в Альтаир 2. Евроремонт,https://www.olx.ua/obyavlenie/kvartira-v-altair-2-evroremont-IDAsUXo.html#1089c721f9, Приморский,11  июнь,8 500 грн.
"Дюковская, 8.. шикарный вид на парк",https://www.olx.ua/obyavlenie/dyukovskaya-8-shikarnyy-vid-na-park-IDAsUoa.html#1089c721f9, Малиновский,11  июнь,7 000 грн.
сдам комнату в общежитии ул. Приморская,https://www.olx.ua/obyavlenie/sdam-komnatu-v-obschezhitii-ul-primorskaya-IDAsTDk.html#1089c721f9, Киевский,11  июнь,3 500 грн.
"Сдам 3-х комнатную квартиру, 15 мин.до моря",https://www.olx.ua/obyavlenie/sdam-3-h-komnatnuyu-kvartiru-15-min-do-morya-IDAsTBC.html#1089c721f9, Киевский,11  июнь,10 000 грн.
"Долгосрочное и посуточное проживание в хостеле ""Day and Night""",https://www.olx.ua/obyavlenie/dolgosrochnoe-i-posutochnoe-prozhivanie-v-hostele-day-and-night-IDyGqhM.html#1089c721f9, Приморский,11  июнь,"2 800 грн.

Договорная"
"студийная квартира в стиле ЛОФТ, Французский Бульвар",https://www.olx.ua/obyavlenie/studiynaya-kvartira-v-stile-loft-frantsuzskiy-bulvar-IDxtHOA.html#1089c721f9, Приморский,11  июнь,17 092 грн.
"Новая, современная смарт-квартира у моря.",https://www.olx.ua/obyavlenie/novaya-sovremennaya-smart-kvartira-u-morya-IDwxFjC.html#1089c721f9, Суворовский,11  июнь,3 500 грн.
Сдам 1 ком.кварт новострой Сантим,https://www.olx.ua/obyavlenie/sdam-1-kom-kvart-novostroy-santim-IDAsLby.html#1089c721f9, Приморский,11  июнь,10 000 грн.
"Сдам шикарную квартиру на постоянной основе 6,5 фонтана,Новострой",https://www.olx.ua/obyavlenie/sdam-shikarnuyu-kvartiru-na-postoyannoy-osnove-6-5-fontana-novostroy-IDAsJd8.html#1089c721f9, Приморский,11  июнь,13 148 грн.
сдам комнату Пушкинская Филармония,https://www.olx.ua/obyavlenie/sdam-komnatu-pushkinskaya-filarmoniya-IDAsI1Y.html#1089c721f9, Приморский,11  июнь,3 500 грн.
"3х ком квартира правильной планировки, Говорова/Зоопарковая",https://www.olx.ua/obyavlenie/3h-kom-kvartira-pravilnoy-planirovki-govorova-zooparkovaya-IDAsIgE.html#1089c721f9, Приморский,11  июнь,20 987 грн.
Сдам квартиру на Таирова,https://www.olx.ua/obyavlenie/sdam-kvartiru-na-tairova-IDAsHQg.html#1089c721f9, Киевский,11  июнь,"7 000 грн.

Договорная"
Сдается 2к (сп и ст) ул. Французский б/р/8я Жемчужина с видом моря!,https://www.olx.ua/obyavlenie/sdaetsya-2k-sp-i-st-ul-frantsuzskiy-b-r-8ya-zhemchuzhina-s-vidom-morya-IDxdvaC.html#1057d84420;promoted, Киевский,4  июль,14 448 грн.
"Гагаринское плато, Аркадия.",https://www.olx.ua/obyavlenie/gagarinskoe-plato-arkadiya-IDAN55K.html#1057d84420;promoted, Приморский,Вчера 18:28,13 171 грн.
Новая квартира с панорамным видом моря.,https://www.olx.ua/obyavlenie/novaya-kvartira-s-panoramnym-vidom-morya-IDAEqC4.html#1057d84420;promoted, Приморский,21  июнь,17 122 грн.
Сдам новую квартиру Loft в долгосрочную аренду (без комиссии),https://www.olx.ua/obyavlenie/sdam-novuyu-kvartiru-loft-v-dolgosrochnuyu-arendu-bez-komissii-IDzZ4RI.html#1057d84420;promoted, Малиновский,4  июль,10 500 грн.
комната с балконом для 1 девушки без хозяйки!,https://www.olx.ua/obyavlenie/komnata-s-balkonom-dlya-1-devushki-bez-hozyayki-IDz0lE0.html#1057d84420;promoted, Приморский,15  июнь,2 200 грн.
здам комнату от хозяена,https://www.olx.ua/obyavlenie/zdam-komnatu-ot-hozyaena-IDAsHLi.html#1057d84420, Малиновский,11  июнь,3 000 грн.
"ЖК Альтаир/Люстдорфская дорога, первая аренда",https://www.olx.ua/obyavlenie/zhk-altair-lyustdorfskaya-doroga-pervaya-arenda-IDAsFrG.html#1057d84420, Киевский,11  июнь,8 500 грн.
"Восьмая Жемчужина, новая видовая 3х ком квартира",https://www.olx.ua/obyavlenie/vosmaya-zhemchuzhina-novaya-vidovaya-3h-kom-kvartira-IDAsFkK.html#1057d84420, Приморский,11  июнь,31 480 грн.
Сдаётся 1 квартира на 6 фонтана!,https://www.olx.ua/obyavlenie/sdaetsya-1-kvartira-na-6-fontana-IDAsE1g.html#1057d84420, Приморский,11  июнь,7 870 грн.
2к квартира Каманина ЖК «Двадцать Седьмая Жемчужина»,https://www.olx.ua/obyavlenie/2k-kvartira-kamanina-zhk-dvadtsat-sedmaya-zhemchuzhina-IDAsDg4.html#1057d84420, Приморский,11  июнь,14 463 грн.
новая односпальная квар-ра в доме Двадцать Восьмая Жемчужина,https://www.olx.ua/obyavlenie/novaya-odnospalnaya-kvar-ra-v-dome-dvadtsat-vosmaya-zhemchuzhina-IDAsCaS.html#1057d84420, Приморский,11  июнь,13 148 грн.
"Сдам квартиру в центре Одессы, ТЦ ""Афина""",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-tsentre-odessy-tts-afina-IDwyaEG.html#1057d84420, Приморский,11  июнь,"10 518 грн.

Договорная"
новострой ЦЕНТР / район Высшей Мореходки,https://www.olx.ua/obyavlenie/novostroy-tsentr-rayon-vysshey-morehodki-IDAsBmv.html#1057d84420, Приморский,11  июнь,7 500 грн.
Сдается 1ком. Королева/Левитана в отличном состоянии,https://www.olx.ua/obyavlenie/sdaetsya-1kom-koroleva-levitana-v-otlichnom-sostoyanii-IDAsB0q.html#1057d84420, Киевский,11  июнь,6 000 грн.
"Сдам 1 комнатную кв, 43 м2, с ремонтом и мебелью в 20 Жемчужине",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kv-43-m2-s-remontom-i-mebelyu-v-20-zhemchuzhine-IDAsB0i.html#1057d84420, Суворовский,11  июнь,8 000 грн.
"на лето!!! 2х ком квартира, переулок Мукаческий",https://www.olx.ua/obyavlenie/na-leto-2h-kom-kvartira-pereulok-mukacheskiy-IDAsAcM.html#1057d84420, Приморский,11  июнь,31 480 грн.
Сдам 2-х ком. квартиру,https://www.olx.ua/obyavlenie/sdam-2-h-kom-kvartiru-IDAszGM.html#1057d84420, Малиновский,11  июнь,5 500 грн.
Сдам 2 комнатную квартиру в самом центре Одессы,https://www.olx.ua/obyavlenie/sdam-2-komnatnuyu-kvartiru-v-samom-tsentre-odessy-IDAsyVY.html#1057d84420, Приморский,11  июнь,9 000 грн.
Сдам 1к. кв. ул. Греческая/Красный пер,https://www.olx.ua/obyavlenie/sdam-1k-kv-ul-grecheskaya-krasnyy-per-IDAsx60.html#1057d84420, Приморский,11  июнь,6 500 грн.
Кухня-студия и спальня в ЖК Альтаир,https://www.olx.ua/obyavlenie/kuhnya-studiya-i-spalnya-v-zhk-altair-IDtTQ8k.html#1057d84420, Киевский,11  июнь,9 000 грн.
"Сдам свою двухуровневую 1 ком. кв, кино-р ""Родина"", ЖД вокзал, Привоз.",https://www.olx.ua/obyavlenie/sdam-svoyu-dvuhurovnevuyu-1-kom-kv-kino-r-rodina-zhd-vokzal-privoz-IDa8o2T.html#1057d84420, Приморский,11  июнь,8 900 грн.
Сдам 1 комн. кварт ул. Тираспольская/Успенская,https://www.olx.ua/obyavlenie/sdam-1-komn-kvart-ul-tiraspolskaya-uspenskaya-IDAswkE.html#1057d84420, Приморский,11  июнь,5 500 грн.
1 к. кв. в 22 Жемчужине. Новострой,https://www.olx.ua/obyavlenie/1-k-kv-v-22-zhemchuzhine-novostroy-IDAswHU.html#1057d84420, Малиновский,11  июнь,7 889 грн.
"новая односпальная квартира, ул. Кленовая/парк Победы",https://www.olx.ua/obyavlenie/novaya-odnospalnaya-kvartira-ul-klenovaya-park-pobedy-IDAswym.html#1057d84420, Приморский,11  июнь,17 052 грн.
Сдам 3 к. кв. Вильямса/ Вавилова,https://www.olx.ua/obyavlenie/sdam-3-k-kv-vilyamsa-vavilova-IDzIuOu.html#1057d84420, Киевский,11  июнь,11 833 грн.
Сдам прекрасную квартиру в 9 Жемчужине НА ЛЕТО,https://www.olx.ua/obyavlenie/sdam-prekrasnuyu-kvartiru-v-9-zhemchuzhine-na-leto-IDAmRji.html#1057d84420, Приморский,11  июнь,26 233 грн.
Сдам квартиру с ВИДОМ НА МОРЕ на Французком б-ре.,https://www.olx.ua/obyavlenie/sdam-kvartiru-s-vidom-na-more-na-frantsuzkom-b-re-IDAsuO4.html#1057d84420, Приморский,11  июнь,15 761 грн.
"дом Пальмира, односпальная квартира, Аркадия",https://www.olx.ua/obyavlenie/dom-palmira-odnospalnaya-kvartira-arkadiya-IDAstWa.html#1057d84420, Приморский,11  июнь,18 407 грн.
"3 к. кв. в ЖК ""Альтаир""",https://www.olx.ua/obyavlenie/3-k-kv-v-zhk-altair-IDAstZ6.html#1057d84420, Киевский,11  июнь,15 000 грн.
"на лето !!! переулок Дунаева, близость моря!",https://www.olx.ua/obyavlenie/na-leto-pereulok-dunaeva-blizost-morya-IDzMmsy.html#1057d84420, Приморский,11  июнь,47 222 грн.
"Сдам свою однокомнатную. Новострой, центр города!",https://www.olx.ua/obyavlenie/sdam-svoyu-odnokomnatnuyu-novostroy-tsentr-goroda-IDAsrn8.html#1057d84420, Киевский,11  июнь,7 500 грн.
"Просторная дизайнерская квартира с террасой в жк""Санторини"".10 Фонтана",https://www.olx.ua/obyavlenie/prostornaya-dizaynerskaya-kvartira-s-terrasoy-v-zhk-santorini-10-fontana-IDzQ6Dk.html#1057d84420, Приморский,11  июнь,39 443 грн.
Отличная 3 комн.Французский бульвар,https://www.olx.ua/obyavlenie/otlichnaya-3-komn-frantsuzskiy-bulvar-IDzQUCi.html#1057d84420, Приморский,11  июнь,31 555 грн.
2к квартира Генуэзская ЖК «Гольфстрим»,https://www.olx.ua/obyavlenie/2k-kvartira-genuezskaya-zhk-golfstrim-IDzQdvO.html#1057d84420, Приморский,11  июнь,18 407 грн.
Генуэзская 24д. Аркадия. 2 раздельные комнаты,https://www.olx.ua/obyavlenie/genuezskaya-24d-arkadiya-2-razdelnye-komnaty-IDAsoKo.html#1057d84420, Приморский,11  июнь,14 448 грн.
Сдам супер квартиру в Альтаире！,https://www.olx.ua/obyavlenie/sdam-super-kvartiru-v-altaire-IDzol8a.html#1057d84420, Приморский,11  июнь,9 000 грн.
Сдам 2 комн.кв. Улица Дерибасовская,https://www.olx.ua/obyavlenie/sdam-2-komn-kv-ulitsa-deribasovskaya-IDAskQm.html#1057d84420, Приморский,11  июнь,10 000 грн.
"Сдам 2 ком кв-ру Аркадия""Гольфстрим """,https://www.olx.ua/obyavlenie/sdam-2-kom-kv-ru-arkadiya-golfstrim-IDujEqc.html#1057d84420, Киевский,11  июнь,19 722 грн.
"Французский б-р ЖК ГринВуд, Квартира с видом на море",https://www.olx.ua/obyavlenie/frantsuzskiy-b-r-zhk-grinvud-kvartira-s-vidom-na-more-IDAskFU.html#1057d84420, Приморский,11  июнь,17 092 грн.
видовая 2х ком квартира на лето или длительный период!!! Белый Парус.,https://www.olx.ua/obyavlenie/vidovaya-2h-kom-kvartira-na-leto-ili-dlitelnyy-period-belyy-parus-IDzRsWv.html#1057d84420, Приморский,11  июнь,31 480 грн.
"Сдам современную квартиру с панорамой моря, 1 спальня и студия.",https://www.olx.ua/obyavlenie/sdam-sovremennuyu-kvartiru-s-panoramoy-morya-1-spalnya-i-studiya-IDAsjkO.html#1057d84420, Приморский,11  июнь,11 000 грн.
"Сдам комнату в коммуне, Аркадия для парня, ул. Черняховского/Тенистая",https://www.olx.ua/obyavlenie/sdam-komnatu-v-kommune-arkadiya-dlya-parnya-ul-chernyahovskogo-tenistaya-IDAsiHO.html#1057d84420, Приморский,11  июнь,2 500 грн.
"Срочно! Сдам 1 комн 5 ст Б Фонтана, 6000",https://www.olx.ua/obyavlenie/srochno-sdam-1-komn-5-st-b-fontana-6000-IDAsh3k.html#1057d84420, Приморский,11  июнь,6 000 грн.
Сдам комнату в общежитии район автовокзала,https://www.olx.ua/obyavlenie/sdam-komnatu-v-obschezhitii-rayon-avtovokzala-IDAsgKG.html#1057d84420, Малиновский,11  июнь,2 500 грн.
3 ком Королева/Овен,https://www.olx.ua/obyavlenie/3-kom-koroleva-oven-IDALtAc.html#d79a2f5978;promoted, Киевский,Вчера 19:37,7 000 грн.
Сдам 1к.кв. Манежная/Ольгиевская,https://www.olx.ua/obyavlenie/sdam-1k-kv-manezhnaya-olgievskaya-IDAInsS.html#d79a2f5978;promoted, Приморский,2  июль,6 000 грн.
"Сдам 1-комнатную квартиру ЖК ""Кадор по улице Сахарова с ремонтом",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-zhk-kador-po-ulitse-saharova-s-remontom-IDAPPYo.html#d79a2f5978;promoted, Суворовский,2  июль,7 000 грн.
ул. Асташкина/пл.Льва Толстого 16 Жемчужина,https://www.olx.ua/obyavlenie/ul-astashkina-pl-lva-tolstogo-16-zhemchuzhina-IDAMGjs.html#d79a2f5978;promoted, Приморский,Вчера 14:49,13 201 грн.
Студия и спальня в новострое на Генуэзской Аркадия,https://www.olx.ua/obyavlenie/studiya-i-spalnya-v-novostroe-na-genuezskoy-arkadiya-IDAKsOv.html#d79a2f5978;promoted, Приморский,Вчера 14:17,13 201 грн.
2к квартира Пишоновская угол Спуск Ковалевского,https://www.olx.ua/obyavlenie/2k-kvartira-pishonovskaya-ugol-spusk-kovalevskogo-IDAsfFv.html#d79a2f5978, Приморский,11  июнь,10 000 грн.
"ЖК Михайловский, новый дом на Михайловской",https://www.olx.ua/obyavlenie/zhk-mihaylovskiy-novyy-dom-na-mihaylovskoy-IDAsfDK.html#d79a2f5978, Малиновский,11  июнь,9 182 грн.
Сдам 2 квартиру Левитана/Королева с евроремонтом,https://www.olx.ua/obyavlenie/sdam-2-kvartiru-levitana-koroleva-s-evroremontom-IDAsfjY.html#d79a2f5978, Приморский,11  июнь,9 000 грн.
сдам для 1 девушки отличную комнату в квартире с хозяйкой М Жукова,https://www.olx.ua/obyavlenie/sdam-dlya-1-devushki-otlichnuyu-komnatu-v-kvartire-s-hozyaykoy-m-zhukova-IDAsfbe.html#d79a2f5978, Киевский,11  июнь,2 300 грн.
2 х комн Дерибасовская угол Екатериненская,https://www.olx.ua/obyavlenie/2-h-komn-deribasovskaya-ugol-ekaterinenskaya-IDAsewY.html#d79a2f5978, Приморский,11  июнь,15 762 грн.
Студия и две спальни ЖК Вторая Жемчужина Аркадия,https://www.olx.ua/obyavlenie/studiya-i-dve-spalni-zhk-vtoraya-zhemchuzhina-arkadiya-IDzLM7g.html#d79a2f5978, Приморский,11  июнь,12 000 грн.
Сдам квартиру в Аркадии длительно 400$,https://www.olx.ua/obyavlenie/sdam-kvartiru-v-arkadii-dlitelno-400-IDAsdj2.html#d79a2f5978, Приморский,11  июнь,10 508 грн.
"Сдам комнату в доме с хозяйкой, ул. Краснослободская",https://www.olx.ua/obyavlenie/sdam-komnatu-v-dome-s-hozyaykoy-ul-krasnoslobodskaya-IDAsdlq.html#d79a2f5978, Суворовский,11  июнь,3 000 грн.
Сдам самую красивую квартиру в 12 жемчужине на Малиновского!,https://www.olx.ua/obyavlenie/sdam-samuyu-krasivuyu-kvartiru-v-12-zhemchuzhine-na-malinovskogo-IDAscBv.html#d79a2f5978, Малиновский,11  июнь,10 000 грн.
Сдам 1к Квартиру (после лета) на Длительно в Совиньоне,https://www.olx.ua/obyavlenie/sdam-1k-kvartiru-posle-leta-na-dlitelno-v-sovinone-IDsKKOS.html#d79a2f5978, Приморский,11  июнь,"5 000 грн.

Договорная"
2к квартира Французский бульвар ЖК «GreenWood»,https://www.olx.ua/obyavlenie/2k-kvartira-frantsuzskiy-bulvar-zhk-greenwood-IDAsaEy.html#d79a2f5978, Приморский,11  июнь,17 161 грн.
"Шикарная 2 комн. квартира на Высоцкого/Сахарова, 8000 грн ТОРГ!",https://www.olx.ua/obyavlenie/shikarnaya-2-komn-kvartira-na-vysotskogo-saharova-8000-grn-torg-IDAsayq.html#d79a2f5978, Суворовский,11  июнь,8 000 грн.
сдам для 1 парня подселение в комнату к парню Центр/Новый рынок,https://www.olx.ua/obyavlenie/sdam-dlya-1-parnya-podselenie-v-komnatu-k-parnyu-tsentr-novyy-rynok-IDAs9Io.html#d79a2f5978, Приморский,11  июнь,1 500 грн.
сдам 3х комн квартиру Варненская/Ген Петрова,https://www.olx.ua/obyavlenie/sdam-3h-komn-kvartiru-varnenskaya-gen-petrova-IDAs9ly.html#d79a2f5978, Малиновский,11  июнь,7 000 грн.
Сдаю комнату в квартире ул Парковая,https://www.olx.ua/obyavlenie/sdayu-komnatu-v-kvartire-ul-parkovaya-IDAs7Xv.html#d79a2f5978, Приморский,11  июнь,3 500 грн.
Аренда 2-комнатной квартиры,https://www.olx.ua/obyavlenie/arenda-2-komnatnoy-kvartiry-IDAs7wE.html#d79a2f5978, Киевский,11  июнь,8 000 грн.
Балковская Фози 3000 для двоих,https://www.olx.ua/obyavlenie/balkovskaya-fozi-3000-dlya-dvoih-IDAs7bm.html#d79a2f5978, Приморский,11  июнь,3 000 грн.
Французский_Шампанский_58 м_студия и спальня_длительно!,https://www.olx.ua/obyavlenie/frantsuzskiy-shampanskiy-58-m-studiya-i-spalnya-dlitelno-IDzR6Wq.html#d79a2f5978, Приморский,11  июнь,13 166 грн.
Квартира-офис. Улица Дерибасовская. Напротив «Макдональдса». Хозяин!,https://www.olx.ua/obyavlenie/kvartira-ofis-ulitsa-deribasovskaya-naprotiv-makdonaldsa-hozyain-IDryhHC.html#d79a2f5978;promoted, Приморский,11  июнь,13 135 грн.
Сдам 2х комн. квартиру на Королева/Вильямса,https://www.olx.ua/obyavlenie/sdam-2h-komn-kvartiru-na-koroleva-vilyamsa-IDAs1ye.html#d79a2f5978, Киевский,11  июнь,6 500 грн.
Сдам комнату с хозяйкой. Кордонная.,https://www.olx.ua/obyavlenie/sdam-komnatu-s-hozyaykoy-kordonnaya-IDArYMU.html#d79a2f5978, Малиновский,10  июнь,2 000 грн.
Сдам 2-х комнатную квартиру в Аркадии ЖК Гольфстрим,https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-v-arkadii-zhk-golfstrim-IDArYIy.html#d79a2f5978, Приморский,10  июнь,14 463 грн.
Сдам 1 ком. кв. в новом доме на Таирова,https://www.olx.ua/obyavlenie/sdam-1-kom-kv-v-novom-dome-na-tairova-IDArWjm.html#d79a2f5978, Киевский,10  июнь,7 000 грн.
Сдам однокомнатную квартиру в центре Кадор,https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-v-tsentre-kador-IDArTxm.html#d79a2f5978, Приморский,10  июнь,11 853 грн.
Сдам квартиру-студию от собственника,https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-ot-sobstvennika-IDArOxv.html#d79a2f5978, Киевский,10  июнь,17 052 грн.
Сдам комнату,https://www.olx.ua/obyavlenie/sdam-komnatu-IDArMzm.html#d79a2f5978, Приморский,10  июнь,"6 000 грн.

Договорная"
сдам комнату от хозяина,https://www.olx.ua/obyavlenie/sdam-komnatu-ot-hozyaina-IDArMuQ.html#d79a2f5978, Киевский,10  июнь,1 850 грн.
Сдам 3к.кв. Филатова/Гайдара 9000гр+Комунальные.,https://www.olx.ua/obyavlenie/sdam-3k-kv-filatova-gaydara-9000gr-komunalnye-IDzMPGI.html#d79a2f5978, Приморский,10  июнь,9 000 грн.
Проспект Шевченко/Р.Кармена,https://www.olx.ua/obyavlenie/prospekt-shevchenko-r-karmena-IDArJ9i.html#d79a2f5978, Приморский,10  июнь,12 000 грн.
Сдам квартиру со всеми удобствами,https://www.olx.ua/obyavlenie/sdam-kvartiru-so-vsemi-udobstvami-IDzQoNQ.html#d79a2f5978, Киевский,10  июнь,"7 870 грн.

Договорная"
Сдам комнаты курень дом у моря Черноморск Ильичевск,https://www.olx.ua/obyavlenie/sdam-komnaty-kuren-dom-u-morya-chernomorsk-ilichevsk-IDAbccq.html#d79a2f5978, Киевский,10  июнь,"6 000 грн.

Договорная"
Сдам комнату в самом сердце Одессы,https://www.olx.ua/obyavlenie/sdam-komnatu-v-samom-serdtse-odessy-IDz8pcy.html#d79a2f5978, Приморский,10  июнь,3 000 грн.
Сдам Центр.Чудогород 19А,https://www.olx.ua/obyavlenie/sdam-tsentr-chudogorod-19a-IDArxMV.html#d79a2f5978, Киевский,10  июнь,10 537 грн.
"Сдам одну комнату для студентки,девушки",https://www.olx.ua/obyavlenie/sdam-odnu-komnatu-dlya-studentki-devushki-IDArAwV.html#d79a2f5978;promoted, Малиновский,10  июнь,3 000 грн.
Сдам комнату в частном доме,https://www.olx.ua/obyavlenie/sdam-komnatu-v-chastnom-dome-IDAryiq.html#d79a2f5978, Малиновский,10  июнь,"1 700 грн.

Договорная"
1ком Генерала Петрова / РАДОСТНАЯ,https://www.olx.ua/obyavlenie/1kom-generala-petrova-radostnaya-IDAry34.html#d79a2f5978, Малиновский,10  июнь,5 500 грн.
Сдам комнату в Лузановке у моря для парня или девушки.,https://www.olx.ua/obyavlenie/sdam-komnatu-v-luzanovke-u-morya-dlya-parnya-ili-devushki-IDuClu4.html#d79a2f5978, Суворовский,10  июнь,2 000 грн.
Сдам квартиру в центре,https://www.olx.ua/obyavlenie/sdam-kvartiru-v-tsentre-IDArw3C.html#d79a2f5978, Киевский,10  июнь,9 000 грн.
Сдам 2 ком.кв-ру ул.Фабричная р-он Ивановского моста,https://www.olx.ua/obyavlenie/sdam-2-kom-kv-ru-ul-fabrichnaya-r-on-ivanovskogo-mosta-IDArmkQ.html#d79a2f5978, Малиновский,10  июнь,5 500 грн.
"Сдам 1-комнатную квартиру ЖК ""Кадор по улице Сахарова с ремонтом",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-zhk-kador-po-ulitse-saharova-s-remontom-IDAPPYo.html#d8cb654769;promoted, Суворовский,2  июль,7 000 грн.
Сдам 2х комнатную квартиру в новострое на ул.Королева,https://www.olx.ua/obyavlenie/sdam-2h-komnatnuyu-kvartiru-v-novostroe-na-ul-koroleva-IDAKmFC.html#d8cb654769;promoted, Киевский,4  июль,9 000 грн.
Сдам 1ком квартиру 5 минут от центра. Новострой! Первая сдача!,https://www.olx.ua/obyavlenie/sdam-1kom-kvartiru-5-minut-ot-tsentra-novostroy-pervaya-sdacha-IDAFk8M.html#d8cb654769;promoted, Малиновский,Вчера 10:39,11 000 грн.
"Сдам на 2-3 месяца,2-ух комнатную квартиру от хозяина.",https://www.olx.ua/obyavlenie/sdam-na-2-3-mesyatsa-2-uh-komnatnuyu-kvartiru-ot-hozyaina-IDxlh1A.html#d8cb654769;promoted, Приморский,3  июль,10 000 грн.
"Сдам 1-комнат.квартиру на Французском бульваре в Одессе в Ж/К ""Крит"".",https://www.olx.ua/obyavlenie/sdam-1-komnat-kvartiru-na-frantsuzskom-bulvare-v-odesse-v-zh-k-krit-IDAtC0a.html#d8cb654769;promoted, Приморский,Вчера 09:12,15 815 грн.
"Сдам долгосрочно!Евроремонт,мебель!",https://www.olx.ua/obyavlenie/sdam-dolgosrochno-evroremont-mebel-IDAn4W8.html#d8cb654769, Суворовский,10  июнь,6 000 грн.
Сдам Комнату в коммуне Рядом Центр,https://www.olx.ua/obyavlenie/sdam-komnatu-v-kommune-ryadom-tsentr-IDArkzg.html#d8cb654769, Приморский,10  июнь,3 000 грн.
1ком ЧЕРЁМУШКИ / срочно!,https://www.olx.ua/obyavlenie/1kom-cheremushki-srochno-IDArjba.html#d8cb654769, Малиновский,10  июнь,5 000 грн.
Сдам 2к. Малая арнаутская.,https://www.olx.ua/obyavlenie/sdam-2k-malaya-arnautskaya-IDArf14.html#d8cb654769, Малиновский,10  июнь,6 000 грн.
Сдам квартиру у моря. Приморский район. Фонтан,https://www.olx.ua/obyavlenie/sdam-kvartiru-u-morya-primorskiy-rayon-fontan-IDAr30S.html#d8cb654769, Киевский,10  июнь,13 201 грн.
Аренда 3х кв.Люстдорфская дорога-. Глушко,https://www.olx.ua/obyavlenie/arenda-3h-kv-lyustdorfskaya-doroga-glushko-IDArfKO.html#d8cb654769, Киевский,10  июнь,7 500 грн.
Сдам комнату для мальчиков,https://www.olx.ua/obyavlenie/sdam-komnatu-dlya-malchikov-IDAremQ.html#d8cb654769, Приморский,10  июнь,1 200 грн.
"2-х комн. квартира на Таирова, Ак.Глушко от хозяина",https://www.olx.ua/obyavlenie/2-h-komn-kvartira-na-tairova-ak-glushko-ot-hozyaina-IDxbWoy.html#d8cb654769, Киевский,10  июнь,8 000 грн.
"Новая Аркадия, уютная, удобная 3х ком квартира с личным паркингом",https://www.olx.ua/obyavlenie/novaya-arkadiya-uyutnaya-udobnaya-3h-kom-kvartira-s-lichnym-parkingom-IDzQyCG.html#d8cb654769, Приморский,10  июнь,28 976 грн.
